pic,source_file,CY_index,h11,h21,rk_bk,sq_bk,dp_bk,bk_match,hodge_match,rankS,h11_minus_rankS,pic_expected,kernel_dim_match,pic1_scale_k
2,Example_Files/Y.v09.txt,628,5,59,3,4,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,629,5,59,3,3,8,True,True,3,2,2,True,
1,Example_Files/Y.v09.txt,635,5,55,4,4,10,True,True,4,1,1,True,1.0
2,Example_Files/Y.v09.txt,637,5,53,3,3,9,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,649,5,85,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,659,5,77,3,6,9,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,674,5,63,3,5,10,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,681,5,69,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,707,5,47,3,5,16,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,714,5,57,3,5,14,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,725,5,53,3,3,9,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,750,5,73,3,5,7,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,787,5,73,3,4,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,833,5,63,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,835,5,63,3,6,12,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,836,5,63,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,848,5,59,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,849,5,59,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,850,5,47,3,6,18,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,865,5,53,3,3,9,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,869,5,63,3,3,7,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1002,5,66,3,5,9,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1029,5,66,3,4,9,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1041,5,68,3,5,7,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1054,5,67,3,3,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1056,5,55,3,3,10,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1064,5,47,3,4,10,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1068,5,67,3,3,6,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1072,5,63,3,4,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1075,5,51,3,4,10,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1095,5,63,3,4,8,True,True,3,2,2,True,
2,Example_Files/Y.v09.txt,1130,5,51,3,3,10,True,True,3,2,2,True,
1,Example_Files/Y.v09.txt,1163,11,29,10,18,36,True,True,10,1,1,True,2.0
2,Example_Files/Y.v09.txt,1188,5,81,3,3,6,True,True,3,2,2,True,
